Id_bien;Date;Valeur
607;2020-06-29;192100
608;2020-06-29;87950
609;2020-06-29;145600
610;2020-06-29;248000
611;2020-06-29;54900
612;2020-06-29;110000
613;2020-06-29;103000
614;2020-06-29;39000
615;2020-06-29;422000
616;2020-06-29;540000
617;2020-06-29;209900
618;2020-06-29;285600
619;2020-06-29;1003650
620;2020-06-29;246785
621;2020-06-29;375000
622;2020-06-29;140000
623;2020-06-29;210000
624;2020-06-29;125000
625;2020-06-29;93000
626;2020-06-29;33000
627;2020-06-29;62500
628;2020-06-29;56000
629;2020-06-29;190310
630;2020-06-29;210000
631;2020-06-29;147400
632;2020-06-29;330000
633;2020-06-29;288950
634;2020-06-29;320000
635;2020-06-29;425000
636;2020-06-29;363808
637;2020-06-29;590000
638;2020-06-29;535000
639;2020-06-29;851300
640;2020-06-29;1360000
641;2020-06-29;764000
642;2020-06-29;1560000
643;2020-06-29;208550
644;2020-06-29;522576,75
645;2020-06-29;1517000
646;2020-06-29;199230
647;2020-06-29;210000
648;2020-06-29;246000
649;2020-06-29;237000
650;2020-06-29;415980
651;2020-06-29;460000
652;2020-06-29;820000
653;2020-06-29;475250
654;2020-06-29;306707
655;2020-06-29;441000
656;2020-06-29;2233000
657;2020-06-29;350000
658;2020-06-29;2200000
659;2020-06-29;415000
660;2020-06-29;729700
661;2020-06-29;1660000
662;2020-06-29;301000
663;2020-06-29;640000
664;2020-06-29;320000
665;2020-06-29;471520
666;2020-06-29;1353000
667;2020-06-29;191000
668;2020-06-29;390000
669;2020-06-29;740700
670;2020-06-29;168650
671;2020-06-29;700000
672;2020-06-29;120000
673;2020-06-29;715711
674;2020-06-29;899000
675;2020-06-29;430000
676;2020-06-29;687000
677;2020-06-29;413000
678;2020-06-29;862700
679;2020-06-29;348800
680;2020-06-29;295000
681;2020-06-29;86000
682;2020-06-29;529250
683;2020-06-29;672580
684;2020-06-29;578000
685;2020-06-29;238000
686;2020-06-29;288900
687;2020-06-29;255000
688;2020-06-29;373000
689;2020-06-29;94000
690;2020-06-29;103000
691;2020-06-29;86020
692;2020-06-29;70000
693;2020-06-29;172000
694;2020-06-29;195000
695;2020-06-29;248560
696;2020-06-29;240000
697;2020-06-29;165000
698;2020-06-29;231000
699;2020-06-29;128000
700;2020-06-29;100000
701;2020-06-29;285000
702;2020-06-29;160000
703;2020-06-29;125000
704;2020-06-29;164000
705;2020-06-29;780000
706;2020-06-29;288950
707;2020-06-29;117000
708;2020-06-29;380000
709;2020-06-29;90000
710;2020-06-29;350000
711;2020-06-29;231500
712;2020-06-29;80900
713;2020-06-29;227000
714;2020-06-29;310000
715;2020-06-29;351527
716;2020-06-29;261391
717;2020-06-29;165000
718;2020-06-29;140000
719;2020-06-29;101000
720;2020-06-29;258500
721;2020-06-29;180500
722;2020-06-29;112000
723;2020-06-29;104400
724;2020-06-29;35000
725;2020-06-29;63000
726;2020-06-29;17000
727;2020-06-29;342000
728;2020-06-29;145400
729;2020-06-29;157470
730;2020-06-29;153500
731;2020-06-29;165000
732;2020-06-29;254680
733;2020-06-29;124950
734;2020-06-29;221900
735;2020-06-29;200000
736;2020-06-29;347350
737;2020-06-29;167000
738;2020-06-29;262000
739;2020-06-29;248000
740;2020-06-29;75500
741;2020-06-29;201850
742;2020-06-29;269950
743;2020-06-29;93000
744;2020-06-29;66760
745;2020-06-29;154000
746;2020-06-29;93200
